,m,x,y,z,vx,vy,vz
223,0.0015965248,1.55709,-19.0469,6.91203,-0.0551894,1.62744,-0.511232
224,0.0015965248,1.5279,-19.0201,6.68662,-0.380434,1.38971,-0.921469
225,0.0015965248,1.59594,-18.9217,6.86963,-0.0667358,1.44017,0.328236
226,0.0015965248,1.69379,-19.1985,6.74869,-1.53176,0.972671,-0.225068
227,0.0015965248,1.69054,-18.9565,6.77364,0.759454,0.895966,0.332376
228,0.0015965248,1.71692,-18.8831,6.79068,0.291282,1.80532,-0.476967
229,0.0015965248,1.69222,-19.1106,6.95435,-0.886538,1.05967,-1.26753
230,0.0015965248,1.64532,-19.0144,6.87941,0.10603,1.87318,-0.902949
231,0.0015965248,1.73449,-19.3012,6.684,-0.957232,0.734212,-0.340409
232,0.0015965248,1.52963,-19.0781,6.78983,-0.871046,1.69071,-0.479256
233,0.0015965248,1.51982,-19.0871,6.83729,-0.643423,1.54093,0.125232
234,0.0015965248,1.76537,-19.2653,6.77176,-1.31163,0.694461,-0.5208
235,0.0015965248,1.5509,-18.9941,6.91154,-0.476923,1.61302,-0.767237
236,0.0015965248,1.97229,-18.9672,6.91936,-0.222473,0.236207,-0.324894
237,0.0015965248,1.73122,-19.1496,6.80085,-1.18234,1.32764,0.659656
238,0.0015965248,1.88215,-19.2794,6.72537,-0.73324,0.448023,-0.0576942
239,0.0015965248,1.71003,-18.8857,6.77697,0.330337,1.6298,0.161961
240,0.0015965248,1.97868,-19.0422,6.81452,-0.413506,-0.0443478,-0.362082
241,0.0015965248,1.71155,-19.2768,6.7539,-1.15587,1.05357,-0.765528
242,0.0015965248,1.64203,-19.2608,6.70241,-1.08175,1.10545,-0.580143
243,0.0015965248,2.0176,-19.0326,6.71699,-0.588401,0.289958,-0.1677
244,0.0015965248,1.63537,-18.8996,6.85099,0.118852,1.70758,0.0522237
245,0.0015965248,1.56096,-18.8294,6.70844,-0.000362664,1.20813,-0.254784
246,0.0015965248,1.81273,-19.0875,7.02459,-0.758748,0.305353,-0.093892
247,0.0015965248,1.90211,-19.1389,6.87612,-0.445769,-0.16356,-0.408569
248,0.0015965248,1.88092,-19.2014,6.73377,-1.29108,0.852421,0.029179
249,0.0015965248,1.71715,-19.1873,6.69296,-1.09403,1.61632,-0.775643
250,0.0015965248,1.63315,-18.9143,6.86441,-0.0815953,1.9114,-0.267732
251,0.0015965248,1.72592,-18.9888,6.65425,0.407014,0.807188,-1.20798
252,0.0015965248,1.64722,-18.8835,6.92838,0.315972,1.34301,-0.368369
253,0.0015965248,1.68757,-19.1194,6.84242,-0.159441,1.15485,0.94689
254,0.0015965248,1.86741,-18.8902,6.76723,0.505294,0.334456,-0.169563
255,0.0015965248,1.92382,-19.1723,6.82472,-0.777197,0.149991,0.184768
256,0.0015965248,1.98013,-18.9301,6.73909,-0.147718,0.135743,-0.339295
257,0.0015965248,1.95972,-19.1144,6.76744,-0.526641,-0.00924981,-0.761136
258,0.0015965248,1.84638,-19.2179,6.66886,-0.82025,0.199005,-0.716077
259,0.0015965248,1.65147,-18.9508,6.67457,0.487155,1.48934,-0.358099
260,0.0015965248,1.73196,-18.8972,6.88785,0.503626,0.735737,0.319036
261,0.0015965248,1.6941,-18.8197,6.831,0.418972,0.704586,-0.804768
262,0.0015965248,1.75719,-19.1749,7.01226,-1.10158,0.792682,-0.529016
263,0.0015965248,1.7465,-19.1765,6.73623,-1.36344,1.69961,-0.46632
264,0.0015965248,1.51987,-19.0457,6.81024,0.0622542,1.66994,-0.612957
265,0.0015965248,1.68567,-19.2096,6.82926,-1.34696,0.766997,0.308138
266,0.0015965248,1.65824,-19.2153,6.62101,-0.848242,1.28972,-0.748392
267,0.0015965248,1.94592,-18.8445,6.84841,0.273743,0.844364,-0.433103
268,0.0015965248,1.86655,-19.2314,6.8722,-1.18327,0.367211,-0.237379
269,0.0015965248,1.51177,-18.9658,6.84794,-0.263461,1.63789,-0.738274
270,0.0015965248,1.56304,-18.9194,6.8809,0.133949,1.43043,0.100296
271,0.0015965248,1.59362,-19.1811,6.65868,-0.843526,1.57268,-0.350029
272,0.0015965248,1.65215,-18.8754,6.86745,0.432327,0.549128,0.195783
273,0.0015965248,1.86981,-19.2166,6.80691,-0.81681,0.143895,0.268782
274,0.0015965248,1.88158,-19.1181,6.61571,0.000626713,0.344634,0.129619
275,0.0015965248,1.87947,-18.8294,6.66076,0.018104,0.521781,-0.754332
276,0.0015965248,1.67815,-18.8968,6.87374,0.368398,0.817973,-1.25092
277,0.0015965248,1.87989,-19.1616,6.63353,-0.818722,0.180896,-0.693888
278,0.0015965248,1.86905,-19.0978,6.78337,-0.985813,0.242741,-1.43285
279,0.0015965248,1.73118,-19.1961,6.90321,-0.949998,0.968657,0.595884
280,0.0015965248,1.78469,-18.8239,6.85425,0.365635,0.617543,0.174146
281,0.0015965248,1.68395,-19.2264,6.67216,-1.23037,1.13428,-0.00624567
282,0.0015965248,1.60706,-19.1774,6.71379,-1.01358,1.69855,-0.193264
283,0.0015965248,1.5051,-19.0892,6.78264,-0.596424,1.76661,-0.465058
284,0.0015965248,1.59854,-18.8264,6.83703,0.147172,1.4943,-0.423796
